,Club Desctiption
0,"The objective of the club is to support the existence, growth, and development of collegiate a cappella and cappella groups on campus. An a cappella ensemble is a vocal group which performs without the use of instruments. Our repertoire spans many genres including pop, r&b, rock, jazz standards, barber shop and many more! The UW A Cappella Club (UWACC) was founded in Spring 2008 originally with one ensemble and has since expanded to include five main a cappella groups:
	 "
1,"The Water Boys
	The Water Boys are a mid-sized all-male auditioned group under the UW A Cappella Club (UWACC)."
2,"E-mail: waterboys.acappella@gmail.comFacebook: www.facebook.com/waterboysuwYouTube: www.youtube.com/waterboysacappella
	 "
3,"The Unaccompanied Minors
	The Unaccompanied Minors are a mixed-gender auditioned group under the UW A Cappella Club (UWACC)."
4,"E-mail: uw.unaccompanied.minors@gmail.comYouTube:  www.youtube.com/user/UnaccompaniedMinorUWFacebook: www.facebook.com/minorsacappella 
	 "
5,"The AcaBellas
	The AcaBellas are an all-female auditioned group under the UW A Cappella Club (UWACC). "
6,"E-mail: the.acabellas@gmail.comYouTube:www.youtube.com/user/theacabellas Facebook: www.facebook.com/UWacabellasWebsite: www.uwacc.com/acabellas 
	 "
7,"The Musical InterDudes
	The Musical InterDudes are a small-sized all-male auditioned group, and our newest main group under the UW A Cappella Club (UWACC)."
8,"E-mail: MusicalInterDudes@gmail.comYouTube: www.youtube.com/channel/UClxfv2PBjdj8abGQEiKEeVQFacebook: www.facebook.com/TheMusicalInterDudes
	 "
9,"ACE
	ACE (A Cappella Ensemble) is a mixed-gender non-auditioned group under the UW A Cappella Club (UWACC)"
10,"E-mail: uwaterlooace@gmail.comFacebook: www.facebook.com/user/uwaterlooaceYouTube: www.youtube.com/user/uwacappellaensemble
	​"
11,"A typical term includes an information session for new and old members within the first two weeks of classes. Auditions for the 4 auditioned groups begin shortly after the information session. During the term, social events are held as well as workshops run by club members and professional musicians. The term ends off with the End of Term (EOT) concerts held every term at the Theatre of the Arts in Modern Languages. Groups typically practice 1-2 times a week and learn around a 16 minute choreographed set for the EOT concerts. Outside of the EOT concerts, there are numerous performance and gig opportunities on campus and within the K-W area where the groups get to interact with the community at large."
12,"For further details on JOINING or PERFORMANCE REQUESTS, please e-mail the ensembles directly, or email uw.a.cappella.club@gmail.com."
13,"The Afghan Student Association of Waterloo (ASAW) is dedicated to celebrating Afghan culture among members of the Kitchener and Waterloo community. ASAW intends to connect Afghan, Tajik, Uzbek, Turkmen, Pashtun, Baloch, Persian and other Central Asian students in the KW community through events that encourage networking, celebration of heritage, or raising awareness about issues that exist within the Afghan community both inside and outside of Canada. 
	 "
14,"We are a group of students primarily of African origin who hope to promote African culture and interaction. Membership is open to all students who wish to interact with African students and learn and experience our culture. We also provide an environment for students to socialize and air their views on Africa. Africa is a very diverse continent with some countries consisting of more than 50 tribes! We have representatives from all regions of Africa giving us a wide background within the club. We organize a number of events where people can experience the warmth of the African sun, and learn more about our continent. Please check our website for upcoming events or send us any comments or questions at uow.asa@gmail.com."
15,"We are a campus movement dedicated to helping students discover Jesus. As part of a larger organization called Power to Change, our primary focus is to help university & college students across Canada experience God’s love and forgiveness and to inspire them to influence others to become lifelong followers of Jesus."
16,"The purpose of this club is to provide necessary guidance and/or counselling to its members in matters relating to social, cultural, academic and religious importance and to provide assistance beyond counselling where it will be necessary. Furthermore, through his personal example of benevolent behavior, each member of AMSA at UWaterloo will strive to portray the true life of an Ahmadi Muslim.
	 "
17,We promote leadership development and global impact through promoting and facilitating international volunteer and internship exchanges. We have a membership dedicated to helping interested students apply and get accepted for opportunities abroad. We have a strong focus and alignment with the UN Sustainable Development goals.
18,"The American Society for Microbiology Student Chapter (ASM UW) is the perfect club for those who want to share their love of microbes. Members can enjoy fermented foods nights, virtual lectures, and microbiology themed movies. Network with your classmates, professors, and researchers in the field. We offer study sessions for microbiology courses and outreach opportunities to local schools. The fun is contagious!"
19,"We discuss animal rights related topics, advocate for animal rights on campus and in the Waterloo community and meet like-minded people. We run events such as vegan bake sales, fur-free pledges, vegan cooking classes, farm sanctuary trip, coffee giveaway, farmers market trip, weekly meetings, halloween candy giveaways, activism panel, vegan cheese giveaway, cruelty free booth, and any related events. Initiatives would include advocating for more vegan options on campus through the UW Food Services survey.
	 "
