,Prof Name,Number of People,Rating Number
0,Edlyn Teske,387 ratings,80%
1,Serge D'Alessio,0 ratings,-
2,Jean Roydor,0 ratings,-
3,William Gilbert,0 ratings,-
4,Clinton Loo,0 ratings,-
5,Conrad Hewitt,1 rating,100%
6,Sedra Smith,5 ratings,67%
7,Fan Ge,1 rating,100%
8,Ryan Trelford,1 rating,67%
9,Peter Crippin,12 ratings,85%
10,Rahim Moosa,0 ratings,-
11,R. P. J. André,1 rating,67%
12,David G. Wagner,0 ratings,-
13,Robert Garbary,0 ratings,-
14,Dale Brydon,3 ratings,67%
15,Andrew Childs,0 ratings,-
16,Kai-Cheong Chan,0 ratings,-
17,Martin Pei,1 rating,0%
18,Shanta Laishram,11 ratings,85%
19,Jennifer Nissen,0 ratings,-
20,Ruth Malinowski,0 ratings,-
21,Gabriel Coutinho,0 ratings,-
22,Michelle Ashburner,1 rating,67%
23,Kai Cheong Chan,3 ratings,100%
24,Jerry Wang,1 rating,100%
25,Andrew Chen,4 ratings,60%
26,Bill Cunningham,1 rating,0%
27,Cyntha Struthers,0 ratings,-
28,Stephen New,0 ratings,-
29,park,0 ratings,-
30,Paul Schellenberg,0 ratings,-
31,Ross Willard,0 ratings,-
32,Barbara Csima,2 ratings,67%
33,Lalit Jain,0 ratings,-
34,julia brande s,0 ratings,-
35,Barry Ferguson,1 rating,0%
36,Ian Goulden,0 ratings,-
37,Daniel Younger,2 ratings,33%
38,Michael Rubinstein,0 ratings,-
39,Diana Santos,0 ratings,-
40,Jason Zi Yang Sham,1 rating,100%
41,Peter Nelson,0 ratings,-
42,Rich Dlin,3 ratings,29%
43,Dan Wolczuk,5 ratings,80%
44,Boza Tasic,0 ratings,-
45,Anna Bertiger,0 ratings,-
46,Peter Wood,5 ratings,60%
47,Yu-Ru Liu,0 ratings,-
48,Maria Wesslen,7 ratings,76%
49,Carolyn Knoll,0 ratings,-
50,Alfred Menezes,3 ratings,67%
51,adsf,3 ratings,100%
52,Jennifer Nelson,0 ratings,-
53,Jim Geelen,12 ratings,72%
54,Joseph Cheriyan,0 ratings,-
55,Collin Roberts,8 ratings,42%
56,Alex Weekes,0 ratings,-
57,Mukto Akash,4 ratings,75%
58,Janelle Resch,17 ratings,65%
59,Blake Madill,1 rating,67%
60,Peter Balka,1 rating,67%
61,Alan Thompson,0 ratings,-
62,Frank Zorzitto,5 ratings,62%
63,Peter Hoffman,0 ratings,-
64,Robert Williams,0 ratings,-
65,Judith Koeller,0 ratings,-
66,Alessandra Graf,8 ratings,79%
67,Uldis Celmins,1 rating,67%
68,Ashwin Nayak,0 ratings,-
69,Che Tat Ng,2 ratings,17%
70,Carmen Bruni,0 ratings,-
71,Ian Vanderburgh,5 ratings,86%
72,Amena Mahmoud,1 rating,100%
73,Marek Stastna,1 rating,33%
74,Chris Godsil,0 ratings,-
75,Wentang Kuo,0 ratings,-
76,blake m,12 ratings,74%
77,Byron Becker,0 ratings,-
78,Shane Bauman,1 rating,100%
79,John-Paul Pretti,11 ratings,72%
80,Martin Roetteler,22 ratings,83%
81,,1 rating,100%
82,Ian Payne,0 ratings,-
83,John Lawrence,2 ratings,83%
84,Andris Ambainis,0 ratings,-
85,Debbie Leung,0 ratings,-
86,Steve Furino,7 ratings,25%
87,Mike Eden,2 ratings,75%
88,Craig Kaplan,1 rating,67%
89,Miron Shpigel,0 ratings,-
90,Penny Haxell,0 ratings,-
91,Bev Marshman,1 rating,100%
92,Patrick Roh,0 ratings,-
93,R Scoins,1 rating,67%
