0,Sanjiv Gupta,241,73%
1,Serge D'Alessio,0,-
2,David McKinnon,5,93%
3,carolyn,0,-
4,Jean Roydor,1,100%
5,Lijun Wang,0,-
6,Clinton Loo,1,100%
7,Conrad Hewitt,0,-
8,Sedra Smith,19,66%
9,Peter Crippin,1,100%
10,Rahim Moosa,0,-
11,Alain Gamache,0,-
12,Jon Walgate,2,50%
13,Nico Spronk,1,100%
14,Dilian Yang,0,-
15,Terry Anderson,0,-
16,Yafim Spigel,1,67%
17,Simone Speziale,0,-
18,Paula Smith,0,-
19,Xinzhi Liu,1,33%
20,Palaniappan Kannappan,1,100%
21,Ruth Malinowski,0,-
22,Michelle Ashburner,0,-
23,Doug Park,2,100%
24,Kevin Lamb,8,83%
25,Kevin Hare,0,-
26,Chek Beng Chua,0,-
27,Anne-Marie Allison,0,-
28,Andrew Beltaos,0,-
29,Cyntha Struthers,0,-
30,Nathan Zehr,0,-
31,zibaeenejad,0,-
32,Mohammad Zibaeenejad,0,-
33,Benoit Charbonneau,3,89%
34,Ross Willard,1,33%
35,Mohammad Kohandel,0,-
36,Peter Balka,1,67%
37,Achim Kempf,0,-
38,Jennifer Nissen,0,-
39,Denglin Zhou,0,-
40,Brian Forrest,0,-
41,Small Christopher,0,-
42,Brian Ingalls,0,-
43,Daniel Younger,0,-
44,Ghazal Geshnizjani,0,-
45,Maite Dupuis,1,33%
46,Dan Wolczuk,3,13%
47,Hun Hee Lee,2,100%
48,Peter Wood,0,-
49,Yu-Ru Liu,0,-
50,Laurent Marcoux,0,-
51,Carolyn Knoll,0,-
52,Alexandru Nica,11,84%
53,Siva Sivaloganathan,3,67%
54,Jordan Hamilton,4,36%
55,Francine Vinette,2,50%
56,ashburner,1,67%
57,Kirsten Morris,0,-
58,Edward Vrscay,0,-
59,Frank Zorzitto,1,100%
60,Matthew Calder,1,67%
61,Peter Hoffman,0,-
62,Kathryn Hare,0,-
63,Ken Giuliani,0,-
64,Judith Koeller,1,67%
65,Evgenios Kakariadis,0,-
66,Vincent M Sweeney,0,-
67,Ashwin Nayak,0,-
68,Che Tat Ng,0,-
69,Stephen New,0,-
70,shalah aliakbari,1,100%
71,Ian Vanderburgh,2,50%
72,Ashley Webster,0,-
73,Joseph J. West,0,-
74,Mohammad zibaeenjad,0,-
75,Mohamad Alwan,0,-
76,Marek Stastna,1,100%
77,J Hamilton,0,-
78,Richard Dlin,1,100%
79,James Munroe,3,78%
80,Sue Ann Campbell,0,-
81,Michael J. Best,1,0%
82,John Lawrence,0,-
83,Edward Dupont,1,67%
84,Jun Liu,2,100%
85,Sean Speziale,4,67%
86,Francis Poulin,1,100%
87,Mike Eden,13,59%
88,Mohammod,13,82%
89,Miron Shpigel,0,-
90,Mahmood Alaghmandan,0,-
91,John Wainwright,1,100%
92,Matt Scott,0,-
93,Bev Marshman,5,80%
94,Jacques Verstraete,0,-
95,Patrick Roh,0,-
96,R Scoins,0,-
97,Albert Chau,0,-
,Prof Name,Number of People, Number
