,Prof Name,Number of People,Rating Number
0,Kathleen O'Hara,190 ratings,72%
1,Matt White,2 ratings,67%
2,Kim Jernigan,1 rating,100%
3,Julie Stewart,0 ratings,-
4,J. Andrew Deman,0 ratings,-
5,Sarah Ballard,0 ratings,-
6,Greg Campbell,0 ratings,-
7,Robert David Shakespeare,8 ratings,96%
8,Jeff Stacey,2 ratings,50%
9,Sorouja Moll,24 ratings,93%
10,Nicholas Balasais,11 ratings,72%
11,Anders Bergstrom,5 ratings,87%
12,Gail Corning,4 ratings,75%
13,Kevin Carey,0 ratings,-
14,Olga Gladkova,1 rating,100%
15,Timothy Paci,3 ratings,67%
16,George Ross,3 ratings,78%
17,Shannon Hartling,3 ratings,56%
18,Jennifer Doyle,1 rating,100%
19,Catherine Scott,5 ratings,87%
20,Karen Lazar,0 ratings,-
21,Jo Harvie,4 ratings,92%
22,Kathryn McArthur,3 ratings,56%
23,Meg Westley,0 ratings,-
24,Heather Hill,1 rating,100%
25,Kim Nguyen,21 ratings,81%
26,Sally Heath,3 ratings,44%
27,Jennifer Reddock,0 ratings,-
28,Amber Zimmerman,2 ratings,67%
